GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
job,gov.cms.ab2d.job.util,JobUtil,3,86,3,25,1,14,4,15,1,4
job,gov.cms.ab2d.job.service,JobOutputServiceImpl,0,41,0,0,0,7,0,5,0,5
job,gov.cms.ab2d.job.service,InvalidJobAccessException,0,4,0,0,0,2,0,1,0,1
job,gov.cms.ab2d.job.service,JobOutputMissingException,0,4,0,0,0,2,0,1,0,1
job,gov.cms.ab2d.job.service,JobServiceImpl,18,400,1,23,3,90,2,26,1,15
job,gov.cms.ab2d.job.service,InvalidJobStateTransition,0,4,0,0,0,2,0,1,0,1
job,gov.cms.ab2d.job.model,JobStatus.new JobStatus() {...},2,7,0,0,1,1,1,1,1,1
job,gov.cms.ab2d.job.model,JobStatus,3,57,0,0,1,11,1,3,1,3
job,gov.cms.ab2d.job.model,JobStatus.new JobStatus() {...},15,7,2,0,4,1,2,1,1,1
job,gov.cms.ab2d.job.model,JobStatus.new JobStatus() {...},0,9,0,0,0,2,0,2,0,2
job,gov.cms.ab2d.job.model,JobStatus.new JobStatus() {...},2,7,0,0,1,1,1,1,1,1
job,gov.cms.ab2d.job.model,JobStatus.new JobStatus() {...},2,7,0,0,1,1,1,1,1,1
job,gov.cms.ab2d.job.model,Job,23,268,7,17,1,37,8,53,2,47
job,gov.cms.ab2d.job.model,JobStartedBy,0,21,0,0,0,4,0,1,0,1
job,gov.cms.ab2d.job.model,JobOutput,38,92,9,5,1,12,10,19,3,19
job,gov.cms.ab2d.job.dto,StaleJob,95,9,20,0,2,1,15,1,5,1
job,gov.cms.ab2d.job.dto,JobPollResult,255,24,48,0,6,2,39,2,15,2
job,gov.cms.ab2d.job.dto,StartJobDTO,265,45,62,0,1,8,35,8,4,8
